Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value  
ITC,01-Jul-2024,25-Jul-2024,CE,480.00,0.55,0.60,0.45,0.60,0.60,0.60,701.00,5389.57,5.89,1480000.00,107200.00,429.05
ITC,02-Jul-2024,25-Jul-2024,CE,480.00,0.60,0.60,0.40,0.45,0.45,0.45,767.00,5896.24,5.68,1348800.00,-131200.00,425.50
ITC,03-Jul-2024,25-Jul-2024,CE,480.00,0.45,0.50,0.40,0.50,0.50,0.50,430.00,3305.37,2.97,1430400.00,81600.00,428.30
ITC,04-Jul-2024,25-Jul-2024,CE,480.00,0.50,0.50,0.45,0.45,0.45,0.45,168.00,1291.49,1.25,1491200.00,60800.00,429.05
ITC,05-Jul-2024,25-Jul-2024,CE,480.00,0.45,0.45,0.35,0.40,0.40,0.40,547.00,4204.47,3.51,1457600.00,-33600.00,433.65
ITC,08-Jul-2024,25-Jul-2024,CE,480.00,0.45,1.20,0.40,0.90,1.10,0.90,3623.00,27858.94,34.30,1809600.00,352000.00,443.60
ITC,09-Jul-2024,25-Jul-2024,CE,480.00,1.10,2.25,1.00,1.75,1.60,1.75,8840.00,68138.52,247.32,3692800.00,1883200.00,452.60
ITC,10-Jul-2024,25-Jul-2024,CE,480.00,1.85,1.95,1.05,1.25,1.15,1.25,2650.00,20407.45,55.45,3832000.00,139200.00,451.45
ITC,11-Jul-2024,25-Jul-2024,CE,480.00,1.05,2.05,1.00,1.95,1.95,1.95,5405.00,41655.77,145.37,4414400.00,582400.00,458.65
ITC,12-Jul-2024,25-Jul-2024,CE,480.00,2.00,2.65,1.55,1.90,1.85,1.90,5454.00,42069.05,182.33,4780800.00,366400.00,459.05
ITC,15-Jul-2024,25-Jul-2024,CE,480.00,1.85,2.75,1.65,2.20,2.00,2.20,6870.00,53019.06,257.46,4563200.00,-217600.00,463.40
ITC,16-Jul-2024,25-Jul-2024,CE,480.00,2.20,2.55,1.90,2.45,2.45,2.45,5421.00,41831.36,198.08,4552000.00,-11200.00,465.55
ITC,18-Jul-2024,25-Jul-2024,CE,480.00,2.40,2.95,2.10,2.80,2.65,2.80,8154.00,62967.35,344.63,4347200.00,-204800.00,470.25
