Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value  
ITC,01-Jul-2024,25-Jul-2024,CE,490.00,0.40,0.45,0.30,0.45,0.45,0.45,154.00,1208.24,0.88,352000.00,112000.00,429.05
ITC,02-Jul-2024,25-Jul-2024,CE,490.00,0.40,0.40,0.25,0.30,0.30,0.30,442.00,3467.58,2.30,542400.00,190400.00,425.50
ITC,03-Jul-2024,25-Jul-2024,CE,490.00,0.30,0.35,0.25,0.25,0.25,0.25,71.00,556.97,0.33,550400.00,8000.00,428.30
ITC,04-Jul-2024,25-Jul-2024,CE,490.00,0.30,0.35,0.25,0.35,0.35,0.35,322.00,2526.05,1.57,688000.00,137600.00,429.05
ITC,05-Jul-2024,25-Jul-2024,CE,490.00,0.30,0.30,0.20,0.25,0.20,0.25,144.00,1129.51,0.55,732800.00,44800.00,433.65
ITC,08-Jul-2024,25-Jul-2024,CE,490.00,0.25,0.75,0.20,0.65,0.65,0.65,652.00,5116.58,4.90,718400.00,-14400.00,443.60
ITC,09-Jul-2024,25-Jul-2024,CE,490.00,0.75,1.30,0.60,1.05,0.90,1.05,3063.00,24063.56,49.64,1371200.00,652800.00,452.60
ITC,10-Jul-2024,25-Jul-2024,CE,490.00,1.00,1.20,0.65,0.75,0.70,0.75,1396.00,10962.09,17.45,1350400.00,-20800.00,451.45
ITC,11-Jul-2024,25-Jul-2024,CE,490.00,0.80,1.20,0.60,1.10,1.10,1.10,1742.00,13685.12,27.84,1608000.00,257600.00,458.65
ITC,12-Jul-2024,25-Jul-2024,CE,490.00,1.10,1.50,0.90,1.10,1.05,1.10,2110.00,16581.76,39.36,1499200.00,-108800.00,459.05
ITC,15-Jul-2024,25-Jul-2024,CE,490.00,1.20,1.45,0.95,1.15,1.05,1.15,1190.00,9353.83,24.23,1532800.00,33600.00,463.40
ITC,16-Jul-2024,25-Jul-2024,CE,490.00,1.10,1.35,1.05,1.20,1.20,1.20,1326.00,10420.66,24.82,1422400.00,-110400.00,465.55
ITC,18-Jul-2024,25-Jul-2024,CE,490.00,1.10,1.40,1.10,1.30,1.30,1.30,2053.00,16137.49,41.97,1627200.00,204800.00,470.25
