Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value  
ITC,01-Jul-2024,25-Jul-2024,CE,440.00,4.50,5.65,3.90,5.50,5.55,5.50,5817.00,41402.97,451.29,5300800.00,854400.00,429.05
ITC,02-Jul-2024,25-Jul-2024,CE,440.00,5.95,5.95,3.60,4.00,4.05,4.00,5248.00,37316.44,370.52,5844800.00,544000.00,425.50
ITC,03-Jul-2024,25-Jul-2024,CE,440.00,4.20,4.55,3.65,3.95,4.00,3.95,3597.00,25553.75,230.87,6579200.00,734400.00,428.30
ITC,04-Jul-2024,25-Jul-2024,CE,440.00,4.00,5.15,3.70,4.00,4.00,4.00,4870.00,34629.70,344.90,7849600.00,1270400.00,429.05
ITC,05-Jul-2024,25-Jul-2024,CE,440.00,4.05,5.40,3.75,5.20,5.10,5.20,7994.00,56888.07,610.31,7555200.00,-294400.00,433.65
ITC,08-Jul-2024,25-Jul-2024,CE,440.00,5.10,11.65,5.05,10.70,11.20,10.70,22299.00,159890.46,2905.50,5384000.00,-2171200.00,443.60
ITC,09-Jul-2024,25-Jul-2024,CE,440.00,12.20,19.40,10.70,16.95,16.50,16.95,9217.00,67077.25,2189.57,3710400.00,-1673600.00,452.60
ITC,10-Jul-2024,25-Jul-2024,CE,440.00,18.20,18.45,11.90,14.80,14.50,14.80,2265.00,16469.61,524.01,3161600.00,-548800.00,451.45
ITC,11-Jul-2024,25-Jul-2024,CE,440.00,13.15,21.75,13.15,21.25,21.05,21.25,1982.00,14538.07,584.79,3312000.00,150400.00,458.65
ITC,12-Jul-2024,25-Jul-2024,CE,440.00,20.45,24.30,18.75,20.95,20.90,20.95,1526.00,11254.64,511.60,2240000.00,-1072000.00,459.05
ITC,15-Jul-2024,25-Jul-2024,CE,440.00,20.70,28.40,20.00,25.40,24.70,25.40,355.00,2640.45,141.25,2134400.00,-105600.00,463.40
ITC,16-Jul-2024,25-Jul-2024,CE,440.00,24.10,27.85,23.55,27.65,27.50,27.65,220.00,1640.33,91.53,2027200.00,-107200.00,465.55
ITC,18-Jul-2024,25-Jul-2024,CE,440.00,26.10,31.90,25.60,31.60,31.80,31.60,247.00,1855.55,116.67,1952000.00,-75200.00,470.25
