Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value  
ITC,01-Jul-2024,25-Jul-2024,CE,460.00,1.45,1.75,1.15,1.70,1.75,1.70,1508.00,11133.20,34.32,2718400.00,448000.00,429.05
ITC,02-Jul-2024,25-Jul-2024,CE,460.00,1.70,1.80,1.10,1.25,1.25,1.25,1560.00,11514.33,32.73,2640000.00,-78400.00,425.50
ITC,03-Jul-2024,25-Jul-2024,CE,460.00,1.30,1.45,1.05,1.20,1.20,1.20,1075.00,7932.20,20.20,2900800.00,260800.00,428.30
ITC,04-Jul-2024,25-Jul-2024,CE,460.00,1.15,1.45,1.05,1.10,1.10,1.10,1181.00,8715.26,23.10,3078400.00,177600.00,429.05
ITC,05-Jul-2024,25-Jul-2024,CE,460.00,1.05,1.40,0.95,1.25,1.20,1.25,1318.00,9725.47,24.99,3411200.00,332800.00,433.65
ITC,08-Jul-2024,25-Jul-2024,CE,460.00,1.25,3.95,1.20,3.40,3.80,3.40,11911.00,88119.52,454.56,4568000.00,1156800.00,443.60
ITC,09-Jul-2024,25-Jul-2024,CE,460.00,4.15,7.20,3.20,5.60,5.30,5.60,23905.00,178018.44,2077.64,6174400.00,1606400.00,452.60
ITC,10-Jul-2024,25-Jul-2024,CE,460.00,6.00,6.20,3.40,4.40,4.15,4.40,13052.00,96995.46,932.74,8176000.00,2001600.00,451.45
ITC,11-Jul-2024,25-Jul-2024,CE,460.00,3.90,7.45,3.55,6.95,7.05,6.95,24555.00,183134.43,2409.63,11292800.00,3116800.00,458.65
ITC,12-Jul-2024,25-Jul-2024,CE,460.00,7.05,8.80,5.60,6.70,6.60,6.70,21665.00,161916.78,2462.38,10979200.00,-313600.00,459.05
ITC,15-Jul-2024,25-Jul-2024,CE,460.00,6.85,11.00,5.90,8.80,8.40,8.80,13029.00,97664.54,1771.10,10107200.00,-872000.00,463.40
ITC,16-Jul-2024,25-Jul-2024,CE,460.00,8.50,10.50,7.50,10.15,10.30,10.15,5738.00,43086.66,854.98,9643200.00,-464000.00,465.55
ITC,18-Jul-2024,25-Jul-2024,CE,460.00,9.75,13.55,8.65,12.95,12.90,12.95,5553.00,41893.24,1023.16,9344000.00,-299200.00,470.25
