Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value  
ITC,01-Jul-2024,25-Jul-2024,CE,470.00,0.85,1.00,0.70,0.95,0.95,0.95,1357.00,10222.09,17.45,1288000.00,142400.00,429.05
ITC,02-Jul-2024,25-Jul-2024,CE,470.00,0.95,1.00,0.60,0.70,0.65,0.70,1061.00,7991.02,12.30,1284800.00,-3200.00,425.50
ITC,03-Jul-2024,25-Jul-2024,CE,470.00,0.70,0.75,0.60,0.65,0.65,0.65,909.00,6844.98,9.30,1390400.00,105600.00,428.30
ITC,04-Jul-2024,25-Jul-2024,CE,470.00,0.60,0.75,0.60,0.60,0.60,0.60,427.00,3215.50,4.46,1339200.00,-51200.00,429.05
ITC,05-Jul-2024,25-Jul-2024,CE,470.00,0.60,0.70,0.50,0.60,0.60,0.60,854.00,6430.18,8.10,1366400.00,27200.00,433.65
ITC,08-Jul-2024,25-Jul-2024,CE,470.00,0.65,2.10,0.65,1.80,2.00,1.80,3202.00,24143.14,64.10,1880000.00,513600.00,443.60
ITC,09-Jul-2024,25-Jul-2024,CE,470.00,2.10,3.95,1.75,3.10,2.85,3.10,9544.00,72232.72,461.84,2508800.00,628800.00,452.60
ITC,10-Jul-2024,25-Jul-2024,CE,470.00,3.10,3.45,1.80,2.25,2.05,2.25,5442.00,41127.10,203.26,3076800.00,568000.00,451.45
ITC,11-Jul-2024,25-Jul-2024,CE,470.00,2.00,3.90,1.85,3.60,3.70,3.60,9291.00,70330.73,462.41,4481600.00,1404800.00,458.65
ITC,12-Jul-2024,25-Jul-2024,CE,470.00,3.80,4.85,2.90,3.45,3.40,3.45,10338.00,78356.40,614.64,4619200.00,137600.00,459.05
ITC,15-Jul-2024,25-Jul-2024,CE,470.00,3.40,5.70,3.05,4.50,4.10,4.50,11740.00,89143.38,858.58,5467200.00,848000.00,463.40
ITC,16-Jul-2024,25-Jul-2024,CE,470.00,4.15,5.35,3.90,5.10,5.10,5.10,11253.00,85477.74,855.18,5331200.00,-136000.00,465.55
ITC,18-Jul-2024,25-Jul-2024,CE,470.00,4.25,6.65,4.25,6.30,6.20,6.30,16662.00,126833.16,1534.92,7980800.00,2649600.00,470.25
