Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value  
ITC,01-Jul-2024,25-Jul-2024,CE,450.00,2.55,3.20,2.20,3.10,3.15,3.10,6101.00,44191.24,264.04,8483200.00,1691200.00,429.05
ITC,02-Jul-2024,25-Jul-2024,CE,450.00,3.40,3.40,2.00,2.30,2.25,2.30,5009.00,36261.28,196.48,9553600.00,1070400.00,425.50
ITC,03-Jul-2024,25-Jul-2024,CE,450.00,2.30,2.55,2.00,2.15,2.15,2.15,2372.00,17161.37,82.97,9940800.00,387200.00,428.30
ITC,04-Jul-2024,25-Jul-2024,CE,450.00,2.20,2.75,1.95,2.10,2.10,2.10,3948.00,28571.91,146.31,9894400.00,-46400.00,429.05
ITC,05-Jul-2024,25-Jul-2024,CE,450.00,2.10,2.70,1.90,2.55,2.55,2.55,5553.00,40190.90,209.30,8734400.00,-1160000.00,433.65
ITC,08-Jul-2024,25-Jul-2024,CE,450.00,2.55,6.90,2.45,6.15,6.65,6.15,21945.00,159637.71,1633.71,11332800.00,2598400.00,443.60
ITC,09-Jul-2024,25-Jul-2024,CE,450.00,7.45,12.15,6.05,10.15,9.70,10.15,35180.00,258392.59,5096.59,8739200.00,-2593600.00,452.60
ITC,10-Jul-2024,25-Jul-2024,CE,450.00,9.90,11.15,6.55,8.55,8.15,8.55,12680.00,93015.74,1719.74,9060800.00,321600.00,451.45
ITC,11-Jul-2024,25-Jul-2024,CE,450.00,8.00,13.50,7.15,12.90,12.85,12.90,9833.00,72478.61,1681.01,7515200.00,-1545600.00,458.65
ITC,12-Jul-2024,25-Jul-2024,CE,450.00,12.15,15.60,10.75,12.75,12.60,12.75,5245.00,38856.38,1092.38,6870400.00,-644800.00,459.05
ITC,15-Jul-2024,25-Jul-2024,CE,450.00,12.80,19.10,11.65,16.40,15.50,16.40,2247.00,16737.33,558.93,6033600.00,-836800.00,463.40
ITC,16-Jul-2024,25-Jul-2024,CE,450.00,15.50,18.60,14.15,18.25,18.40,18.25,1270.00,9489.96,345.96,5664000.00,-369600.00,465.55
ITC,18-Jul-2024,25-Jul-2024,CE,450.00,17.70,22.45,16.20,22.05,22.00,22.05,1264.00,9504.71,403.91,5409600.00,-254400.00,470.25
